,Date,Price,Open,High,Low,Vol,Change%
1541,05/15/2007,1054.69,1069.15,1069.15,1054.69,8.50K,-1.06%
1542,05/16/2007,1040.99,1051.62,1051.62,1040.99,8.76K,-1.30%
1543,05/17/2007,1059.79,1039.27,1059.79,1039.27,11.25K,1.81%
1544,05/18/2007,1066.56,1063.33,1066.56,1063.33,6.51K,0.64%
1545,05/21/2007,1085.41,1077.62,1085.41,1077.62,7.91K,1.77%
1546,05/22/2007,1107.52,1102.70,1107.52,1102.70,11.78K,2.04%
1547,05/23/2007,1113.19,1127.75,1127.75,1113.19,10.85K,0.51%
1548,05/24/2007,1085.30,1101.79,1101.79,1085.30,8.45K,-2.51%
1549,05/25/2007,1089.60,1073.52,1089.60,1073.52,9.14K,0.40%
1550,05/28/2007,1098.64,1113.24,1113.24,1098.64,7.18K,0.83%
1551,05/29/2007,1093.77,1102.82,1102.82,1093.77,7.10K,-0.44%
1552,05/30/2007,1077.88,1080.96,1080.96,1075.55,5.33K,-1.45%
1553,05/31/2007,1081.48,1087.55,1087.55,1081.48,6.02K,0.33%
1554,06/01/2007,1077.36,1085.93,1085.93,1077.36,5.59K,-0.38%
1555,06/04/2007,1062.10,1074.18,1074.18,1062.10,7.58K,-1.42%
1556,06/05/2007,1039.66,1051.68,1051.68,1039.66,8.16K,-2.11%
1557,06/06/2007,1045.29,1040.45,1045.29,1038.90,7.05K,0.54%
1558,06/07/2007,1060.02,1057.54,1060.56,1057.54,12.74K,1.41%
1559,06/08/2007,1057.36,1067.13,1067.13,1054.78,8.58K,-0.25%
1560,06/11/2007,1040.75,1042.09,1042.09,1037.29,7.11K,-1.57%
1561,06/12/2007,1036.54,1034.88,1036.54,1034.88,10.78K,-0.40%
1562,06/13/2007,1038.80,1035.97,1038.80,1033.71,9.08K,0.22%
1563,06/14/2007,1042.79,1044.02,1044.02,1041.68,7.81K,0.38%
1564,06/15/2007,1048.19,1050.63,1050.63,1048.19,5.69K,0.52%
1565,06/18/2007,1043.99,1046.42,1046.62,1043.99,10.58K,-0.40%
1566,06/19/2007,1049.58,1047.95,1049.87,1047.95,8.66K,0.54%
1567,06/20/2007,1045.28,1050.88,1050.88,1045.28,7.22K,-0.41%
1568,06/21/2007,1034.43,1043.96,1043.96,1034.43,5.69K,-1.04%
1569,06/22/2007,1033.69,1031.26,1037.45,1031.26,6.79K,-0.07%
1570,06/25/2007,1044.39,1047.97,1047.97,1044.39,7.44K,1.04%
1571,06/26/2007,1055.70,1064.15,1064.15,1054.38,7.49K,1.08%
1572,06/27/2007,1032.96,1057.08,1057.08,1032.96,9.29K,-2.15%
1573,06/28/2007,1024.04,1024.30,1024.62,1024.04,8.67K,-0.86%
1574,06/29/2007,1024.68,1020.64,1024.68,1020.64,7.83K,0.06%
1575,07/02/2007,994.17,1015.71,1015.71,994.17,7.62K,-2.98%
1576,07/03/2007,977.30,976.11,977.30,975.40,7.18K,-1.70%
1577,07/04/2007,1013.56,996.14,1013.56,996.14,6.86K,3.71%
1578,07/05/2007,1012.82,1013.95,1013.95,1012.58,8.65K,-0.07%
1579,07/06/2007,1010.53,1008.36,1010.53,1005.95,5.98K,-0.23%
1580,07/09/2007,1010.27,1004.39,1010.27,1004.39,7.12K,-0.03%
1581,07/10/2007,1023.04,1015.15,1023.04,1015.15,5.51K,1.26%
1582,07/11/2007,1029.85,1032.43,1032.71,1029.85,5.73K,0.67%
1583,07/12/2007,1017.68,1025.72,1025.72,1017.68,6.32K,-1.18%
1584,07/13/2007,1015.73,1010.71,1015.73,1010.71,6.28K,-0.19%
1585,07/16/2007,995.83,1005.16,1005.16,995.83,6.17K,-1.96%
1586,07/17/2007,1000.33,995.86,1001.05,995.86,6.38K,0.45%
1587,07/18/2007,994.73,998.75,998.75,994.73,4.92K,-0.56%
1588,07/19/2007,984.43,990.84,990.84,984.43,6.03K,-1.04%
1589,07/20/2007,981.31,980.35,982.17,980.35,4.97K,-0.32%
1590,07/23/2007,979.23,981.11,981.64,979.23,5.60K,-0.21%
1591,07/24/2007,982.43,982.17,983.53,982.17,7.41K,0.33%
1592,07/25/2007,972.56,975.08,975.08,970.55,5.48K,-1.00%
1593,07/26/2007,956.13,965.92,965.92,956.13,7.61K,-1.69%
1594,07/27/2007,940.36,946.03,946.03,939.94,5.22K,-1.65%
1595,07/30/2007,925.44,928.69,928.69,925.44,3.30K,-1.59%
1596,07/31/2007,907.95,905.08,907.95,903.41,6.58K,-1.89%
1597,08/01/2007,923.14,905.34,924.18,905.34,6.79K,1.67%
1598,08/02/2007,911.18,926.67,926.67,911.18,6.60K,-1.30%
1599,08/03/2007,892.88,895.22,895.22,892.88,5.90K,-2.01%
1600,08/06/2007,883.90,892.41,892.41,883.90,4.23K,-1.01%
1601,08/07/2007,896.91,890.75,898.26,890.75,4.16K,1.47%
1602,08/08/2007,910.05,901.53,910.05,901.53,4.84K,1.47%
1603,08/09/2007,938.21,923.15,938.21,923.15,8.63K,3.09%
1604,08/10/2007,935.68,942.33,942.33,929.37,7.60K,-0.27%
1605,08/13/2007,909.15,916.00,916.00,909.15,5.33K,-2.84%
1606,08/14/2007,923.15,912.82,923.15,912.82,5.18K,1.54%
1607,08/15/2007,915.34,918.17,918.17,914.44,3.69K,-0.85%
1608,08/16/2007,900.26,904.67,904.67,900.26,6.14K,-1.65%
1609,08/17/2007,887.93,886.92,889.51,886.92,4.38K,-1.37%
1610,08/20/2007,890.02,875.87,890.02,875.87,7.94K,0.24%
1611,08/21/2007,895.72,897.03,897.36,895.72,7.38K,0.64%
1612,08/22/2007,892.07,898.62,898.62,892.07,6.26K,-0.41%
1613,08/23/2007,887.62,891.50,891.50,887.62,9.03K,-0.50%
1614,08/24/2007,905.48,897.06,905.48,897.06,8.01K,2.01%
1615,08/27/2007,909.07,911.01,911.01,908.27,8.89K,0.40%
1616,08/28/2007,902.58,904.75,904.75,901.50,5.24K,-0.71%
1617,08/29/2007,901.17,895.54,901.17,894.67,6.64K,-0.16%
1618,08/30/2007,903.94,901.26,904.98,901.26,5.35K,0.31%
1619,08/31/2007,908.37,904.57,910.07,904.57,7.85K,0.49%
1620,09/04/2007,929.85,919.87,929.85,919.87,8.27K,2.36%
1621,09/05/2007,925.57,938.76,938.76,925.57,8.95K,-0.46%
1622,09/06/2007,928.36,926.11,928.36,925.99,7.34K,0.30%
1623,09/07/2007,934.13,929.53,934.13,929.53,6.76K,0.62%
1624,09/10/2007,927.14,933.02,933.02,927.14,7.75K,-0.75%
1625,09/11/2007,920.48,925.28,925.28,920.48,13.48K,-0.72%
1626,09/12/2007,921.19,922.66,923.83,921.19,7.11K,0.08%
1627,09/13/2007,921.31,920.55,921.31,920.55,9.38K,0.01%
1628,09/14/2007,930.46,924.14,930.46,924.14,5.46K,0.99%
1629,09/17/2007,934.74,932.38,934.74,932.38,11.29K,0.46%
1630,09/18/2007,935.17,933.78,935.17,933.78,7.65K,0.05%
1631,09/19/2007,946.22,942.52,946.22,942.52,9.23K,1.18%
1632,09/20/2007,963.61,960.56,963.61,960.56,11.03K,1.84%
1633,09/21/2007,958.67,965.20,965.20,958.67,11.38K,-0.51%
1634,09/24/2007,975.82,967.89,975.82,967.89,12.06K,1.79%
1635,09/25/2007,1009.88,1005.79,1009.88,1005.50,15.51K,3.49%
1636,09/26/2007,1015.91,1029.73,1029.73,1015.39,16.59K,0.60%
1637,09/27/2007,1014.09,1012.26,1014.09,1009.83,13.03K,-0.18%
1638,09/28/2007,1046.86,1030.77,1046.86,1030.77,15.06K,3.23%
1639,10/01/2007,1084.39,1072.72,1084.39,1072.72,21.25K,3.59%
1640,10/02/2007,1099.48,1096.97,1099.48,1092.30,17.81K,1.39%
1641,10/03/2007,1106.60,1099.34,1106.60,1099.23,14.94K,0.65%
1642,10/04/2007,1087.76,1107.80,1107.80,1087.76,16.98K,-1.70%
1643,10/05/2007,1081.63,1086.92,1086.92,1081.63,16.63K,-0.56%
1644,10/08/2007,1084.87,1084.58,1088.11,1084.58,14.13K,0.30%
1645,10/09/2007,1097.36,1093.07,1097.36,1093.07,14.88K,1.15%
1646,10/10/2007,1104.67,1110.78,1110.78,1104.67,14.30K,0.67%
1647,10/11/2007,1099.31,1107.05,1107.05,1099.31,12.79K,-0.49%
1648,10/12/2007,1104.61,1097.58,1104.61,1097.58,16.23K,0.48%
1649,10/15/2007,1105.21,1104.42,1105.21,1103.94,13.10K,0.05%
1650,10/16/2007,1103.88,1106.67,1106.67,1103.79,15.47K,-0.12%
1651,10/17/2007,1101.29,1106.21,1106.72,1101.29,13.67K,-0.23%
1652,10/18/2007,1088.68,1094.93,1094.93,1088.68,15.48K,-1.15%
1653,10/19/2007,1097.07,1078.21,1097.07,1078.21,12.49K,0.77%
1654,10/22/2007,1085.74,1091.76,1091.76,1085.74,10.91K,-1.03%
1655,10/23/2007,1075.29,1079.06,1079.06,1075.29,13.14K,-0.96%
1656,10/24/2007,1096.20,1079.60,1096.20,1079.60,12.78K,1.94%
1657,10/25/2007,1095.53,1103.09,1103.09,1095.53,16.93K,-0.06%
1658,10/26/2007,1092.48,1095.28,1095.28,1092.48,12.47K,-0.28%
1659,10/29/2007,1064.20,1074.87,1074.87,1064.20,17.29K,-2.59%
1660,10/30/2007,1069.78,1068.31,1071.15,1068.31,12.16K,0.52%
1661,10/31/2007,1065.09,1065.68,1068.80,1065.09,12.79K,-0.44%
1662,11/01/2007,1075.92,1074.46,1075.92,1074.46,14.46K,1.02%
1663,11/02/2007,1066.63,1074.68,1074.68,1066.63,11.29K,-0.86%
1664,11/05/2007,1047.15,1045.31,1047.65,1045.31,14.74K,-1.83%
1665,11/06/2007,1031.71,1036.57,1036.57,1031.71,13.19K,-1.47%
1666,11/07/2007,1031.20,1026.05,1031.20,1026.05,14.92K,-0.05%
1667,11/08/2007,1026.47,1031.95,1031.95,1026.47,13.62K,-0.46%
1668,11/09/2007,1018.29,1012.43,1018.29,1011.09,12.99K,-0.80%
1669,11/12/2007,1006.12,1012.50,1012.50,1006.12,13.95K,-1.20%
1670,11/13/2007,973.59,999.38,999.38,973.59,13.57K,-3.23%
1671,11/14/2007,993.75,986.91,1007.94,986.91,20.07K,2.07%
1672,11/15/2007,1002.71,1007.06,1007.06,1001.28,14.43K,0.90%
1673,11/16/2007,998.22,996.07,998.22,996.07,11.75K,-0.45%
1674,11/19/2007,998.75,996.48,998.75,996.41,8.50K,0.05%
1675,11/20/2007,983.52,984.30,984.91,983.52,8.47K,-1.52%
1676,11/21/2007,971.49,963.56,971.79,963.56,10.56K,-1.22%
1677,11/22/2007,977.17,977.57,980.02,977.17,8.85K,0.58%
1678,11/23/2007,975.92,979.11,979.11,974.44,8.98K,-0.13%
1679,11/26/2007,991.38,982.18,991.38,982.18,12.75K,1.58%
1680,11/27/2007,988.08,998.72,998.72,988.08,10.24K,-0.33%
1681,11/28/2007,984.57,988.59,988.59,984.57,9.22K,-0.36%
1682,11/29/2007,980.09,984.86,984.86,980.09,8.96K,-0.46%
1683,11/30/2007,972.35,973.19,974.39,972.35,10.18K,-0.79%
1684,12/03/2007,987.96,977.86,987.96,977.86,9.96K,1.61%
1685,12/04/2007,988.91,990.51,990.51,988.91,10.73K,0.10%
1686,12/05/2007,976.21,981.95,981.95,976.21,8.37K,-1.28%
1687,12/06/2007,974.46,973.65,974.46,971.67,7.40K,-0.18%
1688,12/07/2007,974.63,970.15,976.19,970.15,8.97K,0.02%
1689,12/10/2007,958.48,966.72,966.72,958.48,10.42K,-1.66%
1690,12/11/2007,941.04,948.91,948.91,941.04,8.63K,-1.82%
1691,12/12/2007,946.32,936.20,952.24,936.20,9.43K,0.56%
1692,12/13/2007,930.36,941.76,941.76,930.36,6.85K,-1.69%
1693,12/14/2007,922.09,924.11,926.10,922.09,8.36K,-0.89%
1694,12/17/2007,911.15,918.61,918.61,911.15,7.97K,-1.19%
1695,12/18/2007,919.60,911.42,919.60,911.42,7.87K,0.93%
1696,12/19/2007,946.78,932.59,946.78,932.59,10.30K,2.96%
1697,12/20/2007,930.45,949.15,949.15,930.45,9.02K,-1.72%
1698,12/21/2007,935.07,930.37,935.07,930.37,8.38K,0.50%
1699,12/24/2007,930.86,933.66,933.66,930.86,7.32K,-0.45%
1700,12/25/2007,918.43,925.11,925.11,918.43,7.54K,-1.34%
1701,12/26/2007,924.37,917.31,924.37,917.31,8.59K,0.65%
1702,12/27/2007,921.75,923.08,923.08,921.75,7.98K,-0.28%
1703,12/28/2007,927.02,920.72,927.02,920.72,5.90K,0.57%
1704,01/02/2008,921.07,925.66,926.01,921.07,6.47K,-0.64%
1705,01/03/2008,908.25,913.56,915.46,908.25,8.89K,-1.39%
1706,01/04/2008,903.09,904.83,905.38,903.09,8.13K,-0.57%
1707,01/07/2008,887.08,899.53,899.53,884.03,9.24K,-1.77%
1708,01/08/2008,893.74,892.68,899.22,892.68,9.69K,0.75%
1709,01/09/2008,878.41,888.69,889.12,878.41,8.31K,-1.72%
1710,01/10/2008,850.07,858.07,858.56,849.69,12.59K,-3.23%
1711,01/11/2008,860.77,860.52,867.50,860.13,7.57K,1.26%
1712,01/14/2008,841.00,859.29,859.29,841.00,10.68K,-2.30%
1713,01/15/2008,808.83,819.04,820.20,807.72,10.68K,-3.83%
1714,01/16/2008,846.07,836.43,846.07,835.20,14.17K,4.60%
1715,01/17/2008,833.81,861.78,861.78,830.74,11.57K,-1.45%
1716,01/18/2008,847.05,831.08,847.05,828.22,7.37K,1.59%
1717,01/21/2008,833.88,839.31,839.37,833.88,9.73K,-1.55%
1718,01/22/2008,807.74,808.46,813.01,807.74,12.75K,-3.13%
1719,01/23/2008,776.68,785.77,787.12,775.30,11.31K,-3.85%
1720,01/24/2008,764.13,785.92,790.52,764.13,12.85K,-1.62%
1721,01/25/2008,776.04,763.66,778.82,762.99,7.89K,1.56%
1722,01/28/2008,785.07,781.92,785.07,775.90,7.59K,1.16%
1723,01/29/2008,811.61,787.30,811.61,786.42,9.96K,3.38%
1724,01/30/2008,843.10,844.95,848.88,843.10,13.93K,3.88%
1725,01/31/2008,844.11,831.74,844.11,826.03,17.33K,0.12%
1726,02/01/2008,859.62,854.15,859.62,852.32,15.36K,1.84%
1727,02/12/2008,841.23,857.02,857.02,840.50,6.56K,-2.14%
1728,02/13/2008,817.86,830.54,830.77,817.86,8.11K,-2.78%
1729,02/14/2008,823.46,824.34,832.66,823.46,9.04K,0.68%
1730,02/15/2008,816.03,821.00,821.03,813.89,5.84K,-0.90%
1731,02/18/2008,782.57,784.80,786.45,780.78,14.53K,-4.10%
1732,02/19/2008,776.79,764.42,780.91,764.17,14.49K,-0.74%
1733,02/20/2008,744.92,775.30,775.93,744.92,12.81K,-4.10%
1734,02/21/2008,710.45,711.78,712.27,710.17,20.13K,-4.63%
1735,02/22/2008,687.10,678.32,687.10,677.79,16.38K,-3.29%
1736,02/25/2008,715.04,706.00,715.25,706.00,23.91K,4.07%
1737,02/26/2008,692.91,714.86,714.86,692.83,13.42K,-3.09%
1738,02/27/2008,686.49,681.45,704.67,681.35,11.10K,-0.93%
1739,02/28/2008,678.12,687.75,688.70,677.80,10.96K,-1.22%
1740,02/29/2008,663.30,670.49,672.15,661.75,12.89K,-2.19%
1741,03/03/2008,635.24,646.08,646.31,634.22,12.25K,-4.23%
1742,03/04/2008,608.88,608.05,608.88,606.10,21.83K,-4.15%
1743,03/05/2008,583.45,581.19,583.45,580.40,12.21K,-4.18%
1744,03/06/2008,611.17,609.77,611.26,609.77,28.05K,4.75%
1745,03/07/2008,640.14,638.23,640.14,638.03,10.08K,4.74%
1746,03/10/2008,658.29,667.63,669.24,657.53,27.31K,2.84%
1747,03/11/2008,638.71,642.87,643.68,638.71,19.40K,-2.97%
1748,03/12/2008,643.90,632.08,654.47,632.08,16.31K,0.81%
1749,03/13/2008,647.60,655.18,655.18,644.66,15.01K,0.57%
1750,03/14/2008,643.80,640.04,643.92,640.04,12.42K,-0.59%
1751,03/17/2008,615.71,623.23,624.31,615.71,17.88K,-4.36%
1752,03/18/2008,588.26,588.63,589.57,588.17,9.69K,-4.46%
1753,03/19/2008,573.45,584.53,592.18,573.45,27.94K,-2.52%
1754,03/20/2008,564.82,568.32,576.41,564.82,15.18K,-1.50%
1755,03/21/2008,545.68,553.05,553.69,545.68,14.59K,-3.39%
1756,03/24/2008,521.07,524.72,525.24,521.07,10.08K,-4.51%
1757,03/25/2008,496.64,497.25,497.39,496.64,9.44K,-4.69%
1758,03/26/2008,504.67,495.02,504.78,494.40,20.17K,1.62%
1759,03/27/2008,508.75,507.79,508.79,507.79,7.42K,0.81%
1760,03/28/2008,512.70,512.19,512.74,512.19,3.70K,0.78%
1761,03/31/2008,516.85,516.59,516.85,516.58,4.84K,0.81%
1762,04/01/2008,520.99,520.53,520.99,520.53,2.90K,0.80%
1763,04/02/2008,525.11,524.38,525.11,524.38,3.14K,0.79%
1764,04/03/2008,529.23,528.46,529.23,528.46,9.64K,0.78%
1765,04/04/2008,533.00,531.56,533.00,531.56,1.58K,0.71%
1766,04/07/2008,542.33,541.42,542.33,541.37,7.55K,1.75%
1767,04/08/2008,548.56,550.68,550.68,544.29,26.85K,1.15%
1768,04/09/2008,552.05,552.42,552.42,550.03,11.03K,0.64%
1769,04/10/2008,545.73,549.17,549.17,543.88,10.10K,-1.14%
1770,04/11/2008,539.01,537.71,539.01,536.97,9.26K,-1.23%
1771,04/16/2008,531.38,530.90,531.73,530.04,6.43K,-1.42%
1772,04/17/2008,537.58,523.52,537.58,523.45,14.09K,1.17%
1773,04/18/2008,537.31,540.08,540.08,534.51,10.84K,-0.05%
1774,04/21/2008,534.92,534.62,534.92,532.52,7.72K,-0.44%
1775,04/22/2008,530.62,530.26,530.62,528.60,5.34K,-0.80%
1776,04/23/2008,521.95,523.60,523.60,521.82,7.46K,-1.63%
1777,04/24/2008,518.42,515.14,518.42,515.02,7.52K,-0.68%
1778,04/25/2008,515.88,514.37,515.88,513.93,7.33K,-0.49%
1779,04/28/2008,519.42,514.79,519.62,514.44,9.77K,0.69%
1780,04/29/2008,522.36,523.86,524.07,520.41,10.16K,0.57%
1781,05/05/2008,521.28,523.29,523.75,521.28,6.24K,-0.21%
1782,05/06/2008,518.35,518.21,518.35,516.21,7.40K,-0.56%
1783,05/07/2008,515.26,514.66,515.26,510.94,6.75K,-0.60%
1784,05/08/2008,507.94,507.31,507.94,506.43,5.43K,-1.42%
1785,05/09/2008,500.33,499.59,500.33,499.42,3.51K,-1.50%
1786,05/12/2008,492.04,492.95,493.27,492.04,2.76K,-1.66%
1787,05/13/2008,483.92,484.77,484.77,483.92,1.34K,-1.65%
1788,05/14/2008,475.50,477.29,477.29,475.50,1.93K,-1.74%
1789,05/15/2008,466.67,468.56,468.56,466.67,2.66K,-1.86%
1790,05/16/2008,460.04,459.62,461.96,459.37,9.14K,-1.42%
1791,05/19/2008,455.67,453.93,455.67,453.45,6.61K,-0.95%
1792,05/20/2008,449.24,450.03,450.38,448.94,6.33K,-1.41%
1793,05/21/2008,441.75,442.47,442.47,441.53,5.22K,-1.67%
1794,05/22/2008,434.75,435.64,435.73,434.75,8.13K,-1.58%
1795,05/23/2008,428.05,427.84,428.20,427.53,4.95K,-1.54%
1796,05/26/2008,420.51,422.48,422.48,420.51,5.16K,-1.76%
1797,05/30/2008,414.10,413.99,414.14,413.77,4.72K,-1.52%
1798,06/02/2008,407.94,408.20,408.20,407.32,10.18K,-1.49%
1799,06/03/2008,401.20,402.39,402.39,401.14,4.99K,-1.65%
1800,06/04/2008,395.66,395.54,395.66,394.63,8.99K,-1.38%
1801,06/05/2008,390.08,390.86,390.98,390.06,5.49K,-1.41%
1802,06/06/2008,384.24,385.18,385.20,384.05,3.18K,-1.50%
1803,06/09/2008,379.12,380.23,380.23,379.12,3.01K,-1.33%
1804,06/10/2008,373.00,374.33,374.53,373.00,3.51K,-1.61%
1805,06/11/2008,370.45,368.06,371.73,367.46,12.81K,-0.68%
1806,06/12/2008,370.55,368.17,370.55,368.10,7.68K,0.03%
1807,06/13/2008,372.68,370.83,373.97,370.83,12.32K,0.57%
1808,06/16/2008,378.20,376.23,378.68,376.23,17.34K,1.48%
1809,06/17/2008,384.71,384.17,384.72,384.08,9.68K,1.72%
1810,06/18/2008,382.07,389.01,389.01,380.09,24.17K,-0.69%
1811,06/19/2008,373.27,372.80,373.27,371.94,7.46K,-2.30%
1812,06/20/2008,366.02,364.71,366.04,364.32,7.87K,-1.94%
1813,06/23/2008,368.95,367.08,369.69,367.00,10.36K,0.80%
1814,06/24/2008,375.97,373.00,375.97,372.89,7.36K,1.90%
1815,06/25/2008,383.78,382.36,383.78,382.13,9.31K,2.08%
1816,06/26/2008,386.48,392.69,392.69,382.32,15.35K,0.70%
1817,06/27/2008,392.61,385.21,392.78,383.47,10.81K,1.59%
1818,06/30/2008,399.40,395.27,399.40,394.97,7.97K,1.73%
1819,07/01/2008,409.61,406.46,409.83,406.44,9.28K,2.56%
1820,07/02/2008,419.29,417.78,420.04,417.21,16.88K,2.36%
1821,07/03/2008,430.05,428.80,430.13,428.51,10.78K,2.57%
1822,07/04/2008,439.68,441.43,441.50,439.68,11.91K,2.24%
1823,07/07/2008,435.89,448.49,448.49,431.72,26.28K,-0.86%
1824,07/08/2008,436.71,427.35,436.71,426.49,17.11K,0.19%
1825,07/09/2008,439.55,439.21,440.76,438.72,17.01K,0.65%
1826,07/10/2008,446.60,444.26,446.60,443.95,14.31K,1.60%
1827,07/11/2008,456.64,453.70,456.64,453.70,13.58K,2.25%
1828,07/14/2008,467.94,466.31,467.94,465.39,10.07K,2.47%
1829,07/15/2008,479.80,479.62,479.80,478.71,11.98K,2.53%
1830,07/16/2008,486.53,486.74,486.74,476.52,38.67K,1.40%
1831,07/17/2008,489.83,492.61,493.17,489.83,16.08K,0.68%
1832,07/18/2008,483.05,480.09,487.40,480.09,27.68K,-1.38%
1833,07/21/2008,470.82,472.95,473.45,470.11,16.15K,-2.53%
1834,07/22/2008,457.88,461.31,461.31,457.88,2.56K,-2.75%
1835,07/23/2008,445.59,451.17,451.17,445.59,2.02K,-2.68%
1836,07/24/2008,435.79,435.73,440.99,434.01,23.98K,-2.20%
1837,07/25/2008,429.46,428.04,429.46,427.40,9.23K,-1.45%
1838,07/28/2008,434.64,426.23,434.64,425.94,16.58K,1.21%
1839,07/29/2008,444.40,443.45,445.12,443.45,15.82K,2.25%
1840,07/30/2008,448.27,448.39,448.81,442.83,21.13K,0.87%
1841,07/31/2008,451.36,447.42,451.36,444.94,14.08K,0.69%
1842,08/01/2008,447.11,447.37,449.86,446.48,12.39K,-0.94%
1843,08/04/2008,439.41,439.49,440.52,438.17,12.54K,-1.72%
1844,08/05/2008,430.26,429.78,430.26,428.63,10.52K,-2.08%
1845,08/06/2008,437.45,431.43,437.45,431.43,16.67K,1.67%
1846,08/07/2008,438.83,446.85,446.87,438.83,17.70K,0.32%
1847,08/08/2008,444.28,441.79,444.29,438.82,14.91K,1.24%
1848,08/11/2008,454.80,454.87,455.08,454.04,15.72K,2.37%
1849,08/12/2008,459.89,464.09,464.62,456.27,23.09K,1.12%
1850,08/13/2008,464.01,460.28,465.17,457.31,21.83K,0.90%
1851,08/14/2008,476.50,470.14,476.56,469.64,20.70K,2.69%
1852,08/15/2008,488.94,488.81,489.18,488.69,10.62K,2.61%
1853,08/18/2008,508.05,504.14,508.48,503.65,18.83K,3.91%
1854,08/19/2008,511.53,504.14,511.53,503.65,34.28K,0.68%
1855,08/20/2008,508.47,497.75,514.95,497.75,32.39K,-0.60%
1856,08/21/2008,525.98,512.54,525.98,510.69,25.48K,3.44%
1857,08/22/2008,526.98,535.99,536.61,526.98,23.32K,0.19%
1858,08/25/2008,548.25,544.75,548.72,542.89,22.65K,4.04%
1859,08/26/2008,561.67,568.36,569.54,561.67,20.20K,2.45%
1860,08/27/2008,561.85,568.91,575.71,561.85,33.65K,0.03%
1861,08/28/2008,547.69,549.84,551.30,547.45,37.14K,-2.52%
1862,08/29/2008,539.10,533.10,539.10,531.37,33.19K,-1.57%
1863,09/03/2008,555.14,552.60,559.34,552.60,17.64K,2.98%
1864,09/04/2008,558.56,556.61,558.62,549.71,31.51K,0.62%
1865,09/05/2008,546.66,551.35,553.37,546.66,22.72K,-2.13%
1866,09/08/2008,532.71,527.84,536.10,526.03,36.50K,-2.55%
1867,09/09/2008,525.49,532.89,542.96,525.49,30.08K,-1.36%
1868,09/10/2008,514.45,530.01,530.25,508.69,28.60K,-2.10%
1869,09/11/2008,497.01,499.03,500.14,496.84,17.12K,-3.39%
1870,09/12/2008,476.00,477.36,479.45,475.14,15.28K,-4.23%
1871,09/15/2008,476.76,470.38,493.16,470.38,32.65K,0.16%
1872,09/16/2008,455.95,466.16,466.16,455.95,17.09K,-4.36%
1873,09/17/2008,437.24,436.24,438.79,436.24,14.45K,-4.10%
1874,09/18/2008,419.28,417.24,419.28,416.88,12.92K,-4.11%
1875,09/19/2008,439.06,434.14,439.15,434.14,25.53K,4.72%
1876,09/22/2008,459.86,459.64,459.87,459.57,14.33K,4.74%
1877,09/23/2008,465.87,455.62,474.63,452.76,39.62K,1.31%
1878,09/24/2008,455.05,461.19,465.62,454.55,14.39K,-2.32%
1879,09/25/2008,470.43,459.06,470.43,459.06,18.08K,3.38%
1880,09/26/2008,483.81,490.26,490.26,475.60,22.35K,2.84%
1881,09/29/2008,479.00,476.72,487.24,472.42,18.94K,-0.99%
1882,09/30/2008,456.70,457.26,457.26,456.58,4.73K,-4.66%
1883,10/01/2008,454.41,463.26,464.36,448.03,19.83K,-0.50%
1884,10/02/2008,460.25,466.11,466.93,454.17,15.66K,1.29%
1885,10/03/2008,452.14,449.44,456.56,449.44,12.31K,-1.76%
1886,10/06/2008,433.71,436.70,437.37,432.12,14.84K,-4.08%
1887,10/07/2008,414.24,413.63,415.12,413.63,10.70K,-4.49%
1888,10/08/2008,401.33,397.20,402.37,396.88,17.18K,-3.12%
1889,10/09/2008,397.68,389.98,410.01,389.98,21.42K,-0.91%
1890,10/10/2008,379.06,379.10,381.90,378.66,16.48K,-4.68%
1891,10/13/2008,371.67,377.77,381.07,371.40,13.69K,-1.95%
1892,10/14/2008,389.33,381.94,389.33,381.94,9.13K,4.75%
1893,10/15/2008,397.15,399.86,399.86,388.29,26.62K,2.01%
1894,10/16/2008,384.61,380.44,388.42,380.44,18.40K,-3.16%
1895,10/17/2008,382.51,385.77,386.06,382.03,11.69K,-0.55%
1896,10/20/2008,370.80,377.20,377.99,370.75,12.89K,-3.06%
1897,10/21/2008,379.94,379.53,379.94,373.56,16.99K,2.46%
1898,10/22/2008,374.91,369.88,374.91,369.88,13.24K,-1.32%
1899,10/23/2008,360.43,361.21,363.17,359.47,13.53K,-3.86%
1900,10/24/2008,345.11,346.51,348.25,345.11,13.18K,-4.25%
1901,10/27/2008,329.28,329.43,330.37,329.04,14.72K,-4.59%
1902,10/28/2008,322.80,313.63,322.80,313.63,18.20K,-1.97%
1903,10/29/2008,331.62,336.75,336.95,328.70,23.32K,2.73%
1904,10/30/2008,336.57,330.29,337.14,328.20,17.56K,1.49%
1905,10/31/2008,347.05,343.22,347.05,342.66,14.58K,3.11%
1906,11/03/2008,348.64,347.73,351.10,343.74,17.83K,0.46%
1907,11/04/2008,361.44,349.04,363.15,348.57,19.52K,3.67%
1908,11/05/2008,377.83,377.79,377.83,376.99,16.30K,4.53%
1909,11/06/2008,379.51,371.58,388.27,369.55,30.35K,0.44%
1910,11/07/2008,365.97,366.25,371.65,364.99,17.34K,-3.57%
1911,11/10/2008,366.00,368.38,372.27,365.73,17.06K,0.01%
1912,11/11/2008,351.71,355.50,356.54,351.36,15.96K,-3.90%
1913,11/12/2008,342.33,339.01,342.33,338.72,14.91K,-2.67%
