,Date,Price,Open,High,Low,Vol,Change%
156,08/13/2001,368.34,368.34,368.34,368.34,0.13K,-6.56%
157,08/15/2001,344.31,344.31,344.31,344.31,0.07K,-6.52%
158,08/17/2001,321.83,321.83,321.83,321.83,0.19K,-6.53%
159,08/20/2001,302.25,302.25,302.25,302.25,0.20K,-6.08%
160,08/22/2001,320.98,320.98,320.98,320.98,0.17K,6.20%
161,08/24/2001,300.03,300.03,300.03,300.03,0.15K,-6.53%
162,08/27/2001,279.65,279.65,279.65,279.65,0.06K,-6.79%
163,08/29/2001,261.35,261.35,261.35,261.35,0.12K,-6.54%
164,08/31/2001,277.40,277.40,277.40,277.40,0.30K,6.14%
165,09/05/2001,296.43,296.43,296.43,296.43,0.09K,6.86%
166,09/07/2001,307.76,307.76,307.76,307.76,0.25K,3.82%
167,09/10/2001,286.55,286.55,286.55,286.55,0.27K,-6.89%
168,09/12/2001,284.68,284.68,284.68,284.68,0.20K,-0.65%
169,09/14/2001,274.64,274.64,274.64,274.64,0.16K,-3.53%
170,09/17/2001,266.09,266.09,266.09,266.09,0.14K,-3.11%
171,09/19/2001,273.37,273.37,273.37,273.37,0.16K,2.74%
172,09/21/2001,272.03,272.03,272.03,272.03,0.11K,-0.49%
173,09/24/2001,259.75,259.75,259.75,259.75,0.15K,-4.51%
174,09/26/2001,249.72,249.72,249.72,249.72,0.13K,-3.86%
175,09/28/2001,244.46,244.46,244.46,244.46,0.14K,-2.11%
176,10/01/2001,229.06,229.06,229.06,229.06,0.14K,-6.30%
177,10/03/2001,214.29,214.29,214.29,214.29,0.10K,-6.45%
178,10/05/2001,203.12,203.12,203.12,203.12,0.21K,-5.21%
179,10/08/2001,217.10,217.10,217.10,217.10,0.30K,6.88%
180,10/10/2001,221.18,221.18,221.18,221.18,0.16K,1.88%
181,10/12/2001,225.27,225.27,225.27,225.27,0.00K,1.85%
182,10/15/2001,229.35,229.35,229.35,229.35,0.99K,1.81%
183,10/17/2001,233.48,233.48,233.48,233.48,0.01K,1.80%
184,10/19/2001,237.62,237.62,237.62,237.62,0.01K,1.77%
185,10/22/2001,242.01,242.01,242.01,242.01,0.02K,1.85%
186,10/24/2001,246.41,246.41,246.41,246.41,0.05K,1.82%
187,10/26/2001,250.85,250.85,250.85,250.85,0.02K,1.80%
188,10/29/2001,255.55,255.55,255.55,255.55,0.41K,1.87%
189,10/31/2001,260.29,260.29,260.29,260.29,0.05K,1.85%
190,11/02/2001,265.03,265.03,265.03,265.03,0.07K,1.82%
191,11/05/2001,269.77,269.77,269.77,269.77,0.07K,1.79%
192,11/07/2001,274.89,274.89,274.89,274.89,0.03K,1.90%
193,11/09/2001,280.03,280.03,280.03,280.03,0.02K,1.87%
194,11/12/2001,285.06,285.06,285.06,285.06,0.03K,1.80%
195,11/14/2001,290.51,290.51,290.51,290.51,0.03K,1.91%
196,11/16/2001,295.97,295.97,295.97,295.97,0.02K,1.88%
197,11/19/2001,301.09,301.09,301.09,301.09,0.05K,1.73%
198,11/21/2001,296.11,296.11,296.11,296.11,0.30K,-1.65%
199,11/23/2001,292.17,292.17,292.17,292.17,0.19K,-1.33%
200,11/26/2001,296.90,296.90,296.90,296.90,0.28K,1.62%
201,11/28/2001,293.03,293.03,293.03,293.03,0.16K,-1.30%
202,11/30/2001,288.52,288.52,288.52,288.52,0.04K,-1.54%
203,12/03/2001,283.02,283.02,283.02,283.02,0.03K,-1.91%
204,12/05/2001,279.15,279.15,279.15,279.15,0.02K,-1.37%
205,12/07/2001,275.49,275.49,275.49,275.49,0.07K,-1.31%
206,12/10/2001,271.62,271.62,271.62,271.62,0.15K,-1.40%
207,12/12/2001,267.83,267.83,267.83,267.83,0.08K,-1.40%
208,12/14/2001,263.04,263.04,263.04,263.04,0.05K,-1.79%
209,12/17/2001,259.08,259.08,259.08,259.08,0.03K,-1.51%
210,12/19/2001,247.26,247.26,247.26,247.26,0.09K,-4.56%
211,12/21/2001,250.95,250.95,250.95,250.95,0.36K,1.49%
212,12/24/2001,248.05,248.05,248.05,248.05,0.18K,-1.16%
213,12/26/2001,242.75,242.75,242.75,242.75,0.15K,-2.14%
214,12/28/2001,239.27,239.27,239.27,239.27,0.07K,-1.43%
215,12/31/2001,235.40,235.40,235.40,235.40,0.04K,-1.62%
216,01/02/2002,231.70,231.70,231.70,231.70,0.06K,-1.57%
217,01/04/2002,227.79,227.79,227.79,227.79,0.04K,-1.69%
218,01/07/2002,225.95,225.95,225.95,225.95,0.28K,-0.81%
219,01/09/2002,222.90,222.90,222.90,222.90,0.19K,-1.35%
220,01/11/2002,219.22,219.22,219.22,219.22,0.08K,-1.65%
221,01/14/2002,214.16,214.16,214.16,214.16,0.05K,-2.31%
222,01/16/2002,210.68,210.68,210.68,210.68,0.03K,-1.62%
223,01/18/2002,206.79,206.79,206.79,206.79,0.03K,-1.85%
224,01/21/2002,203.27,203.27,203.27,203.27,0.08K,-1.70%
225,01/23/2002,206.01,206.01,206.01,206.01,0.33K,1.35%
226,01/25/2002,209.02,209.02,209.02,209.02,0.16K,1.46%
227,01/28/2002,210.76,210.76,210.76,210.76,0.12K,0.83%
228,01/30/2002,207.55,207.55,207.55,207.55,0.55K,-1.52%
229,02/01/2002,204.48,204.48,204.48,204.48,0.28K,-1.48%
230,02/04/2002,203.77,203.77,203.77,203.77,0.27K,-0.35%
231,02/06/2002,205.37,205.37,205.37,205.37,0.18K,0.79%
232,02/08/2002,205.20,205.20,205.20,205.20,0.29K,-0.08%
233,02/15/2002,205.20,205.20,205.20,205.20,,0.00%
234,02/18/2002,202.89,202.89,202.89,202.89,0.06K,-1.13%
235,02/20/2002,199.52,199.52,199.52,199.52,0.09K,-1.66%
236,02/22/2002,196.58,196.58,196.58,196.58,0.12K,-1.47%
237,02/25/2002,193.79,193.79,193.79,193.79,0.18K,-1.42%
238,02/27/2002,191.10,191.10,191.10,191.10,0.09K,-1.39%
239,03/01/2002,193.59,193.59,193.59,193.59,0.45K,1.30%
240,03/04/2002,190.98,190.98,190.98,190.98,0.21K,-1.35%
241,03/05/2002,188.22,188.22,188.22,188.22,0.14K,-1.45%
242,03/06/2002,185.74,185.74,185.74,185.74,0.15K,-1.32%
243,03/07/2002,183.20,183.20,183.20,183.20,0.17K,-1.37%
244,03/08/2002,181.20,181.20,181.20,181.20,0.18K,-1.09%
245,03/11/2002,180.73,180.73,180.73,180.73,0.35K,-0.26%
246,03/12/2002,182.92,182.92,182.92,182.92,0.15K,1.21%
247,03/13/2002,185.66,185.66,185.66,185.66,0.08K,1.50%
248,03/14/2002,188.97,188.97,188.97,188.97,0.10K,1.78%
249,03/15/2002,192.39,192.39,192.39,192.39,0.20K,1.81%
250,03/18/2002,190.30,190.30,190.30,190.30,0.41K,-1.09%
251,03/19/2002,187.06,187.06,187.06,187.06,0.15K,-1.70%
252,03/20/2002,189.05,189.05,189.05,189.05,0.39K,1.06%
253,03/21/2002,189.26,189.26,189.26,189.26,0.13K,0.11%
254,03/22/2002,187.67,187.67,187.67,187.67,0.14K,-0.84%
255,03/25/2002,188.71,188.71,188.71,188.71,0.10K,0.55%
256,03/26/2002,191.97,191.97,191.97,191.97,0.12K,1.73%
257,03/27/2002,195.11,195.11,195.11,195.11,0.13K,1.64%
258,03/28/2002,197.89,197.89,197.89,197.89,0.14K,1.42%
259,03/29/2002,200.15,200.15,200.15,200.15,0.12K,1.14%
260,04/01/2002,203.14,203.14,203.14,203.14,0.14K,1.49%
261,04/02/2002,203.22,203.22,203.22,203.22,0.18K,0.04%
262,04/03/2002,202.16,202.16,202.16,202.16,0.36K,-0.52%
263,04/04/2002,201.38,201.38,201.38,201.38,0.21K,-0.39%
264,04/05/2002,198.77,198.77,198.77,198.77,0.11K,-1.30%
265,04/08/2002,198.52,198.52,198.52,198.52,0.15K,-0.13%
266,04/09/2002,200.48,200.48,200.48,200.48,0.14K,0.99%
267,04/10/2002,200.85,200.85,200.85,200.85,0.13K,0.18%
268,04/11/2002,200.36,200.36,200.36,200.36,0.15K,-0.24%
269,04/12/2002,199.69,199.69,199.69,199.69,0.11K,-0.33%
270,04/15/2002,200.40,200.40,200.40,200.40,0.11K,0.36%
271,04/16/2002,198.44,198.44,198.44,198.44,0.12K,-0.98%
272,04/17/2002,197.12,197.12,197.12,197.12,0.10K,-0.67%
273,04/18/2002,199.31,199.31,199.31,199.31,0.16K,1.11%
274,04/19/2002,201.43,201.43,201.43,201.43,0.17K,1.06%
275,04/22/2002,201.14,201.14,201.14,201.14,0.15K,-0.14%
276,04/23/2002,202.81,202.81,202.81,202.81,0.24K,0.83%
277,04/24/2002,205.65,205.65,205.65,205.65,0.21K,1.40%
278,04/25/2002,207.06,207.06,207.06,207.06,0.95K,0.69%
279,04/26/2002,208.48,208.48,208.48,208.48,0.24K,0.69%
280,04/29/2002,208.48,208.48,208.48,208.48,,0.00%
281,05/02/2002,209.52,209.52,209.52,209.52,0.40K,0.50%
282,05/03/2002,212.95,212.95,212.95,212.95,0.28K,1.64%
283,05/06/2002,214.23,214.23,214.23,214.23,0.28K,0.60%
284,05/07/2002,210.43,210.43,210.43,210.43,0.24K,-1.77%
285,05/08/2002,207.05,207.05,207.05,207.05,0.26K,-1.61%
286,05/09/2002,208.85,208.85,208.85,208.85,0.19K,0.87%
287,05/10/2002,211.88,211.88,211.88,211.88,0.22K,1.45%
288,05/13/2002,209.62,209.62,209.62,209.62,0.28K,-1.07%
289,05/14/2002,209.88,209.88,209.88,209.88,0.21K,0.12%
290,05/15/2002,209.82,209.82,209.82,209.82,0.25K,-0.03%
291,05/16/2002,209.08,209.08,209.08,209.08,0.23K,-0.35%
292,05/17/2002,209.79,209.79,209.79,209.79,0.51K,0.34%
293,05/20/2002,208.14,208.14,208.14,208.14,0.17K,-0.79%
294,05/21/2002,208.93,208.93,208.93,208.93,0.18K,0.38%
295,05/22/2002,209.66,209.66,209.66,209.66,0.16K,0.35%
296,05/23/2002,208.93,208.93,208.93,208.93,0.14K,-0.35%
297,05/24/2002,208.04,208.04,208.04,208.04,0.20K,-0.43%
298,05/27/2002,206.30,206.30,206.30,206.30,0.20K,-0.84%
299,05/28/2002,205.02,205.02,205.02,205.02,0.25K,-0.62%
300,05/29/2002,203.65,203.65,203.65,203.65,0.18K,-0.67%
301,05/30/2002,203.77,203.77,203.77,203.77,0.16K,0.06%
302,05/31/2002,207.12,207.12,207.12,207.12,0.22K,1.64%
303,06/03/2002,207.81,207.81,207.81,207.81,0.13K,0.33%
304,06/04/2002,205.68,205.68,205.68,205.68,0.09K,-1.02%
305,06/05/2002,205.48,205.48,205.48,205.48,0.07K,-0.10%
306,06/06/2002,205.07,205.07,205.07,205.07,0.09K,-0.20%
307,06/07/2002,203.06,203.06,203.06,203.06,0.09K,-0.98%
308,06/10/2002,204.88,204.88,204.88,204.88,0.09K,0.90%
309,06/11/2002,203.53,203.53,203.53,203.53,0.09K,-0.66%
310,06/12/2002,203.79,203.79,203.79,203.79,0.11K,0.13%
311,06/13/2002,202.35,202.35,202.35,202.35,0.07K,-0.71%
312,06/14/2002,200.75,200.75,200.75,200.75,0.12K,-0.79%
313,06/17/2002,197.77,197.77,197.77,197.77,0.12K,-1.48%
314,06/18/2002,195.59,195.59,195.59,195.59,0.07K,-1.10%
315,06/19/2002,192.13,192.13,192.13,192.13,0.15K,-1.77%
316,06/20/2002,193.32,193.32,193.32,193.32,0.19K,0.62%
317,06/21/2002,196.89,196.89,196.89,196.89,0.04K,1.85%
318,06/24/2002,200.50,200.50,200.50,200.50,0.04K,1.83%
319,06/25/2002,202.40,202.40,202.40,202.40,0.15K,0.95%
320,06/26/2002,200.50,200.50,200.50,200.50,0.20K,-0.94%
321,06/27/2002,199.61,199.61,199.61,199.61,0.13K,-0.44%
322,06/28/2002,202.06,202.06,202.06,202.06,0.14K,1.23%
323,07/01/2002,200.26,200.26,200.26,200.26,0.14K,-0.89%
324,07/02/2002,199.94,199.94,199.94,199.94,0.16K,-0.16%
325,07/03/2002,199.61,199.61,199.61,199.61,0.15K,-0.17%
326,07/04/2002,199.70,199.70,199.70,199.70,0.14K,0.05%
327,07/05/2002,200.50,200.50,200.50,200.50,0.19K,0.40%
328,07/08/2002,200.19,200.19,200.19,200.19,0.17K,-0.15%
329,07/09/2002,199.00,199.00,199.00,199.00,0.20K,-0.59%
330,07/10/2002,197.27,197.27,197.27,197.27,0.26K,-0.87%
331,07/11/2002,197.25,197.25,197.25,197.25,0.18K,-0.01%
332,07/12/2002,198.17,198.17,198.17,198.17,0.13K,0.47%
333,07/15/2002,197.37,197.37,197.37,197.37,0.38K,-0.40%
334,07/16/2002,196.85,196.85,196.85,196.85,0.14K,-0.26%
335,07/17/2002,194.30,194.30,194.30,194.30,0.15K,-1.30%
336,07/18/2002,192.42,192.42,192.42,192.42,0.13K,-0.97%
337,07/19/2002,191.25,191.25,191.25,191.25,0.13K,-0.61%
338,07/22/2002,193.36,193.36,193.36,193.36,0.43K,1.10%
339,07/23/2002,196.85,196.85,196.85,196.85,0.15K,1.80%
340,07/24/2002,197.42,197.42,197.42,197.42,0.30K,0.29%
341,07/25/2002,194.49,194.49,194.49,194.49,0.22K,-1.48%
342,07/26/2002,195.79,195.79,195.79,195.79,0.12K,0.67%
343,07/29/2002,195.16,195.16,195.16,195.16,0.13K,-0.32%
344,07/30/2002,196.94,196.94,196.94,196.94,0.11K,0.91%
345,07/31/2002,197.57,197.57,197.57,197.57,0.29K,0.32%
346,08/01/2002,197.12,197.12,197.12,197.12,0.08K,-0.23%
347,08/02/2002,195.06,195.06,195.06,195.06,0.20K,-1.05%
348,08/05/2002,193.67,193.67,193.67,193.67,0.16K,-0.71%
349,08/06/2002,194.34,194.34,194.34,194.34,0.12K,0.35%
350,08/07/2002,194.06,194.06,194.06,194.06,0.11K,-0.14%
351,08/08/2002,193.39,193.39,193.39,193.39,0.11K,-0.35%
